distance_hips,distance_leftkneehip,distance_rightkneehip,distance_leftkneeankle,distance_rightkneeankle,distance_leftkneeheel,distance_rightkneeheel,distance_leftankleindex,distance_rightankleindex,distance_leftheelindex,distance_rightheelindex,distance_hips_anomalien,distance_leftkneehips_anomalien,distance_rightkneehips_anomalien,distance_leftkneeankle_anomalien,distance_rightkneeankle_anomalien,distance_leftkneeheel_anomalien,distance_rightkneeheel_anomalien,distance_leftankleindex_anomalien,distance_rightankleindex_anomalien,distance_leftheelindex_anomalien,distance_rightheelindex_anomalien
0.1154459769110308,0.1451130495184393,0.154306149585186,0.2366058979577569,0.1716871879671387,0.2858567051362904,0.2045733918484464,0.0254123317220336,0.1061276145373949,0.0505408703625719,0.1315750799622756,0,0,0,0,0,0,0,0,0,0,0
0.1157091497434588,0.1427901487824955,0.1536840261941131,0.2925292360782007,0.1703005344876186,0.3256977262950592,0.2063455099270948,0.0641780688829954,0.1018542512932794,0.0325998970367135,0.1291815196544251,0,0,0,0,0,0,0,0,0,0,0
0.1138113290550967,0.1440121611805201,0.1499238455948807,0.2921793336249862,0.1752056251241789,0.3288862111163388,0.2138748059804801,0.0587294190014866,0.0933106132060434,0.0324530359487566,0.1213955637157001,0,0,0,0,0,0,0,0,0,0,0
0.1108303559173777,0.1500621254734917,0.153739285801852,0.2939489789112492,0.1783779842155527,0.3155978047018287,0.2162517260318171,0.0534189624649761,0.1035554234140296,0.0409743564543762,0.136137493450178,0,0,0,0,0,0,0,0,0,0,0
0.112797058556987,0.1562196123159191,0.1635048731155821,0.2760644076065728,0.1877781353625608,0.3119231199430067,0.2260122862357042,0.0673708753594472,0.0967486145180601,0.0474830413227469,0.1299767900374477,0,0,0,0,0,0,0,0,0,0,0
0.1145696907740727,0.1649452660186909,0.1682799408458837,0.2605831692153174,0.1801215936352257,0.314805132172972,0.2396315121909213,0.0560016149350552,0.057947796678597,0.0744499732735467,0.1198888703604955,0,0,0,0,0,0,0,0,0,0,0
0.119245732074827,0.1749775485713358,0.1652926902245314,0.2386420164616941,0.2015011346915125,0.2936322147009347,0.2469146639889244,0.0675268650330222,0.0784970243035761,0.1009040033419096,0.1099919478823589,0,0,0,0,0,0,0,0,0,0,0
0.122864888831884,0.1826626730668334,0.1707907693397665,0.2043820954098071,0.2171292261412884,0.2454316045204049,0.2576839270110246,0.0821254923723031,0.0569906555313342,0.1058735528902376,0.0823383774889477,0,0,0,0,0,0,0,0,0,0,0
0.1254378372182094,0.1815195457007903,0.1711266520942409,0.1758222671829462,0.2303323196693982,0.2133152772241509,0.270824011369799,0.1154137717500988,0.05164951360415,0.1416169523755529,0.0709104648121028,0,0,0,0,0,0,0,0,0,0,0
0.1266323411849198,0.1735171856981988,0.170469982060634,0.172800596880253,0.2262636263164315,0.2034091200977076,0.2678229131867631,0.1156707721917353,0.0448418700491124,0.1313654278926548,0.0519163271731151,0,0,0,0,0,0,0,0,0,0,0
0.1269617441581179,0.1711475905174911,0.1668574567287616,0.1754000894292877,0.2275981145687111,0.2035570008480299,0.2657895546908521,0.1161041568492299,0.0535232707953656,0.1289974589151967,0.0502463300029394,0,0,0,0,0,0,0,0,0,0,0
0.1291213192852552,0.1703048494787439,0.1574803899097786,0.1707730388537956,0.2360161584575057,0.2007984454797076,0.2695692292887966,0.1132053232066181,0.0492963501739449,0.1334374680804406,0.0456876320735625,0,0,0,0,0,0,0,0,0,0,0
0.1291210581868211,0.1649183903692243,0.1545612804287328,0.1695448490754596,0.2301228937634416,0.2023870127826405,0.2633566979283449,0.1174507733333879,0.0485816880893565,0.1425123125378455,0.0364828200249209,0,0,0,0,0,0,0,0,0,0,0
0.126602308633396,0.1669047243900188,0.1418838897534777,0.1724493770822553,0.245708084987305,0.2085526861556113,0.2831072686949307,0.0971726667195578,0.0632355468007548,0.1203087753607156,0.0376021225382068,0,0,0,0,0,0,0,0,0,0,0
0.1231944476835893,0.1658535295812798,0.1394916135857286,0.1924727106182375,0.2559907277057362,0.2368237590069806,0.2897285543865454,0.1176657762206415,0.0471240429017087,0.14946795115202,0.0352817433605853,0,0,0,0,0,0,0,0,0,0,0
0.122225285496998,0.1680335896347349,0.1375858841635686,0.2233447957464437,0.2251663491850689,0.2676717956761243,0.2675356874654583,0.0756620834945695,0.0445125752100128,0.106133544092903,0.0682307236787776,0,0,0,0,0,0,0,0,0,0,0
0.1218082295594689,0.157092168354928,0.1454027438582836,0.2234153616831408,0.2207986312884164,0.2776599584057808,0.2595167015848271,0.0872678680893175,0.0437141625242386,0.1313227018438427,0.076474096633244,0,0,0,0,0,0,0,0,0,0,0
0.1223452457724464,0.1623865980972452,0.16078370116201,0.2062896451707151,0.2110145279409535,0.2573477196562594,0.2501001209846223,0.0952828431019565,0.0688596922019076,0.1351523830934493,0.098991161361138,0,0,0,0,0,0,0,0,0,0,0
0.123147733660173,0.185430143864517,0.1649446828924514,0.2034176560857236,0.1796611698338051,0.2490764553926913,0.2140098117960296,0.074430417781577,0.0917365138189828,0.1060401228326291,0.1149970783877624,0,0,0,0,0,0,0,0,0,0,0
0.1270595732438815,0.1880314520996623,0.1650493042070546,0.2134900416678875,0.1612075032399449,0.2617687279723472,0.1918663627551459,0.0659715178259444,0.1053839490415902,0.0943486069764724,0.1269335926951047,0,0,0,0,0,0,0,0,0,0,0
0.1266061023280743,0.1849710587804425,0.1618351702677521,0.2323536537675864,0.1628263275822185,0.2801679422554078,0.1851754430427865,0.058820206389944,0.0950114451980074,0.0810722640896854,0.1142793848826574,0,0,0,0,0,0,0,0,0,0,0
0.1304144889865058,0.1728753487443136,0.1578852567872305,0.2462862136007177,0.1739629019895259,0.2939805259208913,0.1921280376849727,0.0652672316493505,0.0954233915698525,0.0753334184625514,0.1130306405848941,0,0,0,0,0,0,0,0,0,0,0
0.1273787958720135,0.1656548143356959,0.1599820658863623,0.258123750720457,0.1710058726022457,0.3071557652270446,0.1906084403405828,0.065982337336679,0.0945513985409312,0.0641323626607359,0.1087084789408192,0,0,0,0,0,0,0,0,0,0,0
0.1256434957184881,0.1652178500283559,0.1619917427638186,0.2529866274484529,0.1680936321603618,0.2939432567727041,0.1938345178920043,0.0550738330959111,0.0984489866044139,0.04177934102167,0.1203048503075971,0,0,0,0,0,0,0,0,0,0,0
0.1225062642959402,0.1488283224938763,0.1579759441025242,0.2755801870669065,0.1644993547143858,0.3135955894699868,0.1980924133596914,0.0610179756689516,0.0989500254936847,0.0364939212575495,0.1265868978206123,0,0,0,0,0,0,0,0,0,0,0
0.118996593175413,0.1531501809433583,0.1585966697990843,0.3174030668807772,0.1661472203452983,0.3557007509532857,0.2060608490297541,0.0713079109669271,0.0993362911900831,0.0406166134538284,0.1338325052130876,0,0,0,0,0,0,0,0,0,0,0
0.1173004413884144,0.1546425185882267,0.1538662852322742,0.3023067096994198,0.1775134452011755,0.3377741810265974,0.2208315069420408,0.0696612372007272,0.1015874548353571,0.0429515703073732,0.139726178676203,0,0,0,0,0,0,0,0,0,0,0
0.1178169769962966,0.1591870360093576,0.1528229321193156,0.2704295480208051,0.1851510895931509,0.316171524183796,0.2296836473525569,0.063074549746047,0.1006043116608528,0.0353326601246499,0.1415414790915669,0,0,0,0,0,0,0,0,0,0,0
0.1176799552619413,0.163822257482972,0.153341478925994,0.2460361956897447,0.1860177490434603,0.2972829514193575,0.2385081636649655,0.0543290889920593,0.0691161211826039,0.0896345950524821,0.1238187730713075,0,0,0,0,0,0,0,0,0,0,0
0.1175008510762216,0.1837976925114831,0.1527087229225208,0.2565829622201058,0.2014802972292537,0.3159561099644814,0.2487392440882929,0.0604686474530989,0.0896566771826019,0.1000934543464306,0.1291495295356988,0,0,0,0,0,0,0,0,0,0,0
0.1195300695278236,0.1847711627769984,0.16965224991202,0.2033314260753057,0.2133146834974714,0.2430240037422813,0.2552667531148037,0.0776944996987221,0.0654631238596835,0.0996480648181248,0.0919187644094041,0,0,0,0,0,0,0,0,0,0,0
0.1221535651793823,0.1818047939905075,0.1719408601283935,0.1733182651535043,0.2168209431575813,0.2100709626953471,0.2594807312124517,0.116788113116582,0.0565679233192236,0.142581876061291,0.0871203251157515,0,0,0,0,0,0,0,0,0,0,0
0.1259647549888095,0.1744017061833312,0.1744880843859909,0.1655804826790688,0.2231801468048853,0.194089101077262,0.2714354642888325,0.1233546810910132,0.0547975172674886,0.1423866639110515,0.0865156695399612,0,0,0,0,0,0,0,0,0,0,0
0.1250795649626674,0.1686208989424564,0.1732851776854409,0.1747240771936694,0.2275445799472695,0.1978322248463525,0.2737252110121917,0.121962775536463,0.0509612601055771,0.1380754884723945,0.0660736215933483,0,0,0,0,0,0,0,0,0,0,0
0.1233584097814589,0.1682544809884843,0.1641408788084966,0.1705957791971771,0.2349007071794593,0.1976774505498216,0.2780802746401702,0.120274066888459,0.058429426221223,0.1310480829362646,0.0602866545310978,0,0,0,0,0,0,0,0,0,0,0
0.1256793563261957,0.1670611648382597,0.1582816461315137,0.1698927335740444,0.2318775851430731,0.2017297036885973,0.2724230841913807,0.1246491139709054,0.0507680286859166,0.1468203860097086,0.0322402863760905,0,0,0,0,0,0,0,0,0,0,0
0.1269305979677535,0.1633135560632315,0.1491875805915433,0.1736471138762542,0.2407594607900779,0.2104303915141455,0.2787101249052013,0.1223926366202932,0.0720896258940554,0.14845637177095,0.0415628336352063,0,0,0,0,0,0,0,0,0,0,0
0.1243147185919707,0.1653524681100929,0.1451124552745291,0.1865961616003244,0.2412018347894583,0.2298853366708987,0.2804596336398861,0.1356317361708462,0.0710907814540105,0.1668175114059142,0.0379392808414234,0,0,0,0,0,0,0,0,0,0,0
0.120288603607895,0.1629522553514219,0.1392588699786406,0.2125056015199718,0.2466931662510225,0.2588293042454462,0.2795412255220237,0.0813583220859392,0.0549281163461671,0.1171575104307883,0.0337176879810827,0,0,0,0,0,0,0,0,0,0,0
0.1174924344327746,0.1590498548072766,0.1391604787485271,0.2311074529241081,0.1996138831840695,0.2785426265181896,0.2541363053837032,0.0876566105681656,0.0421277519700009,0.1245460437218712,0.0943797748955811,0,0,0,0,0,0,0,0,0,0,0
0.1189759310012523,0.1525838697781974,0.1539981393832245,0.2240618516372163,0.2365114725176341,0.276148882482583,0.2766626555479029,0.0916359657078006,0.0592177200867097,0.1330580618820595,0.0886114799476808,0,0,0,0,0,0,0,0,0,0,0
0.1206779153772422,0.1675111554388129,0.1643896326405581,0.2107157750406952,0.2105561456083007,0.2556515244997787,0.2537162301367122,0.0853167087795481,0.071904852673241,0.1157105643605209,0.1033169469326846,0,0,0,0,0,0,0,0,0,0,0
0.1213530608288055,0.1816252835099462,0.168484294115337,0.2114785769411451,0.1741192006548753,0.2589120466763037,0.2112687507896447,0.0705909410987837,0.0928872638375243,0.1010521987336673,0.1188916803311161,0,0,0,0,0,0,0,0,0,0,0
0.1219613684754983,0.1821684805069142,0.1613482957691166,0.2252349963657899,0.1644668998250247,0.2722464481764375,0.1945238556648107,0.0594088241835981,0.1044852215877748,0.0807727820349048,0.126852203480736,0,0,0,0,0,0,0,0,0,0,0
0.1261202130387275,0.1780229096343761,0.1592366214921563,0.2419179333076342,0.173574979869553,0.2886731241100855,0.1943376669205047,0.0667392683017609,0.0865476678316581,0.0782785468052437,0.0956265488354454,0,0,0,0,0,0,0,0,0,0,0
0.1286168714013535,0.1686844420654683,0.156455212797448,0.2564502119627261,0.1816151239579917,0.3067374076220414,0.2006491312020224,0.0632223762918092,0.0975332729329539,0.0635029779695907,0.110480848895126,0,0,0,0,0,0,0,0,0,0,0
0.1270867049119752,0.1650700272528363,0.1604192236664661,0.2572506613479079,0.1750124642986698,0.3002388206201975,0.198053176443256,0.0676098382651026,0.0974189321688535,0.0473438486859346,0.1127533450134578,0,0,0,0,0,0,0,0,0,0,0
0.124273841368815,0.1667985803704782,0.1621213227472183,0.2437169773672314,0.1637517514024005,0.283497587154439,0.1906899376187569,0.0676759452770407,0.1045661924415047,0.0394450628958483,0.1273270297587252,0,0,0,0,0,0,0,0,0,0,0
0.1194130634879073,0.1543848534206005,0.1569739236820655,0.2600918836409346,0.1612218316007375,0.2971846240675155,0.1955675047562392,0.0642508578373267,0.1022565495366819,0.0359766865422631,0.1243542040009443,0,0,0,0,0,0,0,0,0,0,0
0.1153515629055275,0.1558957279805461,0.1523458510554645,0.1388773962062698,0.2720718575852227,0.2037224138994826,0.3283876557471211,0.0341409810835528,0.0272758884932388,0.0704717664614313,0.0686763698997124,0,0,0,0,0,0,0,0,0,0,0
0.1149990265276348,0.160145110128786,0.1564025172141674,0.1611786316052817,0.1968563812202334,0.2566223193241508,0.2402861668346582,0.1611968294967624,0.0811289428947238,0.060971462863647,0.0394636407347984,0,0,0,0,0,0,0,0,0,0,0
0.1160689990605306,0.1661886812040553,0.1590801017209191,0.2346186403982538,0.1933032990674739,0.2968839205312517,0.2367482098201988,0.0849803364674506,0.0789120680962048,0.0320815072146027,0.1166847137952394,0,0,0,0,0,0,0,0,0,0,0
0.1183387586570674,0.1759606733246898,0.1614008875687943,0.2524817012584049,0.1796249003594401,0.3102358869696603,0.2356196901717874,0.0505859968490975,0.0508069678334516,0.0783609368352501,0.1163325747116514,0,0,0,0,0,0,0,0,0,0,0
0.1191236080382257,0.1876489111291079,0.1617909833008547,0.241385931704842,0.2000800918381106,0.3017392036092121,0.2468611517448257,0.0629709338220755,0.0530295894915515,0.1019952891690635,0.0914766966685666,0,0,0,0,0,0,0,0,0,0,0
0.1184133671127595,0.1904907813589839,0.1704429087919409,0.1984680482803792,0.2217653349600689,0.2419598867374154,0.2610697958349582,0.0858532590751521,0.0666403769681257,0.1120478195651986,0.0933303948902164,0,0,0,0,0,0,0,0,0,0,0
